,body_s,mind_s,people_s,suffering_s,temp
0,reviled,drafts,expert,knower,0
1,elation,subhuti,masterfully,remainderless,1
2,erect,raindeva,trainer,lamentations,2
3,crosslegged,wellcentered,compassionate,deliverance,3
4,fore,roofed,meat,pot,4
5,fifty,reviled,reviled,departed,5
6,smelling,hut,essence,spent,6
7,revile,revile,revile,suffering,7
8,unification,elation,announced,dying,8
9,aroma,knower,ears,distresses,9
10,evaluations,walks,singing,despairs,10
11,compassionate,ahead,spread,literally,11
12,flavor,fifty,overturned,sorrows,12
13,quite,happened,create,shame,13
14,touches,extend,hospitality,impermanence,14
15,legs,undisturbed,hidden,compassionate,15
16,knower,fore,knower,gotamas,16
17,hidden,bending,creation,drops,17
18,stilling,unification,learn,relinquishing,18
19,assurance,compassionate,pairs,uttered,19
20,tasting,extended,knife,sleeping,20
21,bending,crosslegged,health,merely,21
22,shade,ears,clansmen,grieves,22
23,cognizing,approach,undisturbed,guide,23
24,meat,comfortable,showing,satisfied,24
25,homes,essence,lines,mass,25
26,walks,surrounded,cities,real,26
27,overturned,shade,nonstaple,bodhi,27
28,phlegm,touches,staple,cross,28
29,essence,evaluations,burmese,meat,29
