,count,freq
organ,3,0.0029615004935834156
world,565,0.5577492596248766
cement,5,0.004935834155972359
cosmic,5,0.004935834155972359
tearing,5,0.004935834155972359
corona,3,0.0029615004935834156
regularly,72,0.07107601184600197
connectionbecause,1,0.0009871668311944718
locations,2,0.0019743336623889436
pavements,1,0.0009871668311944718
ability,261,0.25765054294175715
giddily,1,0.0009871668311944718
negotiating,4,0.003948667324777887
opinion,30,0.029615004935834157
emphasis,10,0.009871668311944718
distract,21,0.02073050345508391
moustaches,1,0.0009871668311944718
clearest,1,0.0009871668311944718
invade,2,0.0019743336623889436
bite,29,0.028627838104639685
sunburnt,2,0.0019743336623889436
detained,1,0.0009871668311944718
pregnancysomething,1,0.0009871668311944718
breathbody,1,0.0009871668311944718
prescribe,7,0.006910167818361303
smitten,1,0.0009871668311944718
spotify,3,0.0029615004935834156
closed,63,0.06219151036525173
beforeid,1,0.0009871668311944718
afraid,73,0.07206317867719644
columbia,9,0.008884501480750246
penchant,1,0.0009871668311944718
selfdetermined,1,0.0009871668311944718
tina,4,0.003948667324777887
goerling,1,0.0009871668311944718
atari,1,0.0009871668311944718
isobels,1,0.0009871668311944718
toes,14,0.013820335636722606
reluctantone,1,0.0009871668311944718
underscored,1,0.0009871668311944718
smallanimal,1,0.0009871668311944718
mediacan,1,0.0009871668311944718
aftershaves,1,0.0009871668311944718
saybravely,1,0.0009871668311944718
hrefhttpswwwheadspacecomblogcategorybirthbirthali,1,0.0009871668311944718
added,38,0.03751233958538993
compulsory,3,0.0029615004935834156
component,17,0.01678183613030602
familiarity,7,0.006910167818361303
sprung,1,0.0009871668311944718
happiness,215,0.21224086870681144
metaphorical,5,0.004935834155972359
underlines,2,0.0019743336623889436
asked,194,0.19151036525172754
timeeven,2,0.0019743336623889436
trex,1,0.0009871668311944718
mediumroasted,1,0.0009871668311944718
correspondence,2,0.0019743336623889436
perfumes,1,0.0009871668311944718
virtue,16,0.01579466929911155
rainstorm,1,0.0009871668311944718
mmhmmed,1,0.0009871668311944718
badass,1,0.0009871668311944718
tenuousness,1,0.0009871668311944718
manners,2,0.0019743336623889436
guitars,1,0.0009871668311944718
adventures,9,0.008884501480750246
bargains,1,0.0009871668311944718
impulsiveness,1,0.0009871668311944718
knew,185,0.18262586377097728
sperm,1,0.0009871668311944718
channeling,4,0.003948667324777887
met,78,0.0769990128331688
statements,19,0.018756169792694965
floorfor,1,0.0009871668311944718
dour,1,0.0009871668311944718
pathology,4,0.003948667324777887
brain,751,0.7413622902270484
weakens,1,0.0009871668311944718
kombucha,1,0.0009871668311944718
pleasant,32,0.0315893385982231
artwork,143,0.14116485686080948
heathrow,1,0.0009871668311944718
breathera,1,0.0009871668311944718
surface,53,0.05231984205330701
joy,91,0.08983218163869694
funky,1,0.0009871668311944718
saveddont,1,0.0009871668311944718
stationed,2,0.0019743336623889436
heshe,1,0.0009871668311944718
peace,121,0.1194471865745311
relationshipsto,1,0.0009871668311944718
rear,3,0.0029615004935834156
spearheading,1,0.0009871668311944718
heady,4,0.003948667324777887
outcome,61,0.060217176702862786
frogs,3,0.0029615004935834156
sweden,1,0.0009871668311944718
let,463,0.4570582428430405
freeform,1,0.0009871668311944718
aunt,13,0.012833168805528134
emojis,13,0.012833168805528134
jabba,1,0.0009871668311944718
gastroenterologist,1,0.0009871668311944718
uttering,1,0.0009871668311944718
digesting,1,0.0009871668311944718
nourishing,10,0.009871668311944718
classaddthisbuttonpreferreda,12,0.011846001974333662
formica,1,0.0009871668311944718
wildly,11,0.01085883514313919
starts,95,0.09378084896347483
mayo,4,0.003948667324777887
discontinue,1,0.0009871668311944718
cacophony,1,0.0009871668311944718
personthat,1,0.0009871668311944718
admired,11,0.01085883514313919
skewed,5,0.004935834155972359
freak,6,0.005923000987166831
sats,1,0.0009871668311944718
monopolize,1,0.0009871668311944718
reduction,39,0.0384995064165844
clonazepammore,1,0.0009871668311944718
survived,13,0.012833168805528134
squarely,2,0.0019743336623889436
patiently,4,0.003948667324777887
demands,24,0.023692003948667325
offthegrid,1,0.0009871668311944718
confidently,2,0.0019743336623889436
fragile,3,0.0029615004935834156
zombie,2,0.0019743336623889436
yous,1,0.0009871668311944718
impactful,6,0.005923000987166831
condolencesalthough,1,0.0009871668311944718
scam,1,0.0009871668311944718
regroup,6,0.005923000987166831
thanking,2,0.0019743336623889436
