,count,freq
worthies,1,0.00026939655172413793
fumigates,6,0.0016163793103448276
belonging,45,0.012122844827586207
milks,6,0.0016163793103448276
opted,1,0.00026939655172413793
thirtyeight,3,0.0008081896551724138
storm,5,0.0013469827586206897
setani,1,0.00026939655172413793
nirujjhamana,2,0.0005387931034482759
regimental,3,0.0008081896551724138
samañña,6,0.0016163793103448276
execute,4,0.0010775862068965517
silakkhandhavagga,1,0.00026939655172413793
stagnant,1,0.00026939655172413793
calamities,2,0.0005387931034482759
verbalize,1,0.00026939655172413793
clan,130,0.03502155172413793
attributed,10,0.0026939655172413795
nosedisease,1,0.00026939655172413793
maltreat,1,0.00026939655172413793
repugnant,1,0.00026939655172413793
effulgent,19,0.0051185344827586205
attañca,1,0.00026939655172413793
anamasitva,1,0.00026939655172413793
defeat,13,0.003502155172413793
forehead,7,0.0018857758620689656
patika,1,0.00026939655172413793
borne,6,0.0016163793103448276
avajjanadvayakiccam,1,0.00026939655172413793
jhāna,79,0.021282327586206896
strikes,12,0.003232758620689655
disproved,1,0.00026939655172413793
approves,6,0.0016163793103448276
experts,2,0.0005387931034482759
dissociated,25,0.006734913793103448
cetanaaham,1,0.00026939655172413793
technical,4,0.0010775862068965517
abovementioned,4,0.0010775862068965517
horsehair,8,0.0021551724137931034
cetasika,1,0.00026939655172413793
experiences,128,0.034482758620689655
torture,12,0.003232758620689655
quartz,3,0.0008081896551724138
exclamations,9,0.0024245689655172415
dhammamattasseva,2,0.0005387931034482759
perpetuation,1,0.00026939655172413793
doublemouthed,1,0.00026939655172413793
flaxflower,2,0.0005387931034482759
pomp,1,0.00026939655172413793
prevent,9,0.0024245689655172415
jaraamaranasokaparidevadukkhadomanassupaayaasa,1,0.00026939655172413793
sulks,1,0.00026939655172413793
banished,7,0.0018857758620689656
pahinameva,1,0.00026939655172413793
told,153,0.0412176724137931
bond,98,0.026400862068965518
impulsiveness,1,0.00026939655172413793
ferret,2,0.0005387931034482759
cast,62,0.01670258620689655
notclinging,4,0.0010775862068965517
whomever,10,0.0026939655172413795
canines,1,0.00026939655172413793
aññamaññamupadana,1,0.00026939655172413793
karmically,26,0.007004310344827586
swordsman,1,0.00026939655172413793
transmigrate,1,0.00026939655172413793
unevenness,1,0.00026939655172413793
punnaka,10,0.0026939655172413795
jayawardhana,2,0.0005387931034482759
dwindles,1,0.00026939655172413793
bhaavanaa,1,0.00026939655172413793
evicted,1,0.00026939655172413793
truth,468,0.12607758620689655
mandiya,1,0.00026939655172413793
dross,7,0.0018857758620689656
pavattakara,1,0.00026939655172413793
glosses,2,0.0005387931034482759
saviññanaka,1,0.00026939655172413793
truthfully,2,0.0005387931034482759
selfrestrained,2,0.0005387931034482759
scentinfused,1,0.00026939655172413793
hurling,1,0.00026939655172413793
aparaparuppattiya,1,0.00026939655172413793
substance,33,0.008890086206896552
moggallana,87,0.0234375
dispatched,1,0.00026939655172413793
nighttime,9,0.0024245689655172415
vipas,1,0.00026939655172413793
splattered,2,0.0005387931034482759
rude,9,0.0024245689655172415
adopting,10,0.0026939655172413795
haaro,1,0.00026939655172413793
organs,2,0.0005387931034482759
scales,8,0.0021551724137931034
sandhayaha,1,0.00026939655172413793
expositions,1,0.00026939655172413793
yasassi,2,0.0005387931034482759
unquiet,1,0.00026939655172413793
squirrels,38,0.010237068965517241
shock,3,0.0008081896551724138
subcontinent,1,0.00026939655172413793
untaught,16,0.004310344827586207
colt,5,0.0013469827586206897
atmosphere,4,0.0010775862068965517
owe,2,0.0005387931034482759
pleasance,1,0.00026939655172413793
announcing,4,0.0010775862068965517
shavings,2,0.0005387931034482759
crookedness,26,0.007004310344827586
molasses,3,0.0008081896551724138
combining,1,0.00026939655172413793
rearises,5,0.0013469827586206897
urubaddha,1,0.00026939655172413793
paccayabhute,1,0.00026939655172413793
uprooting,15,0.004040948275862069
unattracted,9,0.0024245689655172415
constitutes,19,0.0051185344827586205
locality,4,0.0010775862068965517
dilapidated,6,0.0016163793103448276
contacting,2,0.0005387931034482759
spurted,1,0.00026939655172413793
comely,1,0.00026939655172413793
straw,28,0.007543103448275862
blurry,1,0.00026939655172413793
shes,8,0.0021551724137931034
swamps,2,0.0005387931034482759
ontological,2,0.0005387931034482759
bandit,10,0.0026939655172413795
pansu,1,0.00026939655172413793
preempt,3,0.0008081896551724138
sloth,129,0.03475215517241379
san,1,0.00026939655172413793
crested,2,0.0005387931034482759
disorders,2,0.0005387931034482759
earthroar,1,0.00026939655172413793
tanhaanissaya,1,0.00026939655172413793
excelled,24,0.00646551724137931
gopalaka,1,0.00026939655172413793
transcend,30,0.008081896551724138
interact,2,0.0005387931034482759
ekavihariya,2,0.0005387931034482759
ittarapaccupatthaana,1,0.00026939655172413793
peer,3,0.0008081896551724138
questionresponse,1,0.00026939655172413793
rivers,25,0.006734913793103448
tribulation,7,0.0018857758620689656
stock,8,0.0021551724137931034
shackled,3,0.0008081896551724138
citicita,4,0.0010775862068965517
expansion,60,0.016163793103448277
spade,1,0.00026939655172413793
screened,1,0.00026939655172413793
suns,4,0.0010775862068965517
guise,3,0.0008081896551724138
bravely,1,0.00026939655172413793
theory,18,0.004849137931034483
befalls,11,0.002963362068965517
meteorology,1,0.00026939655172413793
posala,1,0.00026939655172413793
dogmatic,3,0.0008081896551724138
archer,9,0.0024245689655172415
idani,1,0.00026939655172413793
dosa,3,0.0008081896551724138
klostermaier,1,0.00026939655172413793
welltamed,4,0.0010775862068965517
stagnation,1,0.00026939655172413793
ponderings,1,0.00026939655172413793
deviates,1,0.00026939655172413793
alternative,18,0.004849137931034483
anuraadha,9,0.0024245689655172415
overwhelmed,33,0.008890086206896552
processes,52,0.014008620689655173
ceasing,37,0.009967672413793104
needing,9,0.0024245689655172415
trade,14,0.003771551724137931
sotapattimagga,1,0.00026939655172413793
slandered,1,0.00026939655172413793
pervade,6,0.0016163793103448276
circled,18,0.004849137931034483
poorlytuned,3,0.0008081896551724138
quietly,1,0.00026939655172413793
abandonment,17,0.0045797413793103444
bhavangadi,1,0.00026939655172413793
dispersed,3,0.0008081896551724138
calmly,2,0.0005387931034482759
proof,8,0.0021551724137931034
chandadi,1,0.00026939655172413793
creepers,5,0.0013469827586206897
pingiyamanavapuccha,2,0.0005387931034482759
selfmindful,1,0.00026939655172413793
unconducive,2,0.0005387931034482759
relinquishing,28,0.007543103448275862
misdirected,1,0.00026939655172413793
excuses,1,0.00026939655172413793
resemblances,1,0.00026939655172413793
lowliness,2,0.0005387931034482759
memorizing,2,0.0005387931034482759
allaccomplished,1,0.00026939655172413793
species,1,0.00026939655172413793
hopscotch,3,0.0008081896551724138
chamber,3,0.0008081896551724138
vegetation,2,0.0005387931034482759
inform,17,0.0045797413793103444
ancestor,1,0.00026939655172413793
consecrated,4,0.0010775862068965517
orange,1,0.00026939655172413793
upasikas,1,0.00026939655172413793
figure,15,0.004040948275862069
attadanda,5,0.0013469827586206897
immoderate,3,0.0008081896551724138
philologically,1,0.00026939655172413793
vutta,1,0.00026939655172413793
nasty,1,0.00026939655172413793
sever,4,0.0010775862068965517
halfmoon,1,0.00026939655172413793
composed,46,0.012392241379310345
maccuraja,1,0.00026939655172413793
appatinada,1,0.00026939655172413793
master,711,0.19154094827586207
morality,17,0.0045797413793103444
parenthetic,1,0.00026939655172413793
sandha,6,0.0016163793103448276
unembarrassed,1,0.00026939655172413793
mattañcetam,1,0.00026939655172413793
construings,2,0.0005387931034482759
detecting,1,0.00026939655172413793
rearing,1,0.00026939655172413793
eighty,11,0.002963362068965517
weigh,2,0.0005387931034482759
lacks,10,0.0026939655172413795
namarupa,2,0.0005387931034482759
clauses,3,0.0008081896551724138
conviction,274,0.0738146551724138
attarakkhita,1,0.00026939655172413793
wealthy,14,0.003771551724137931
assumed,9,0.0024245689655172415
modern,20,0.005387931034482759
scorching,7,0.0018857758620689656
vippharam,1,0.00026939655172413793
placidity,2,0.0005387931034482759
ditthikathaa,2,0.0005387931034482759
conclusions,1,0.00026939655172413793
bathing,27,0.007273706896551724
variables,1,0.00026939655172413793
veda,4,0.0010775862068965517
evaluated,1,0.00026939655172413793
lowlife,1,0.00026939655172413793
weight,4,0.0010775862068965517
squatting,1,0.00026939655172413793
behavior,105,0.028286637931034482
aviparita,1,0.00026939655172413793
ghatva,1,0.00026939655172413793
hardly,4,0.0010775862068965517
parings,5,0.0013469827586206897
trembling,12,0.003232758620689655
advantageous,1,0.00026939655172413793
remembers,16,0.004310344827586207
fond,33,0.008890086206896552
ancients,2,0.0005387931034482759
kalato,1,0.00026939655172413793
praise,170,0.045797413793103446
thou,15,0.004040948275862069
honk,1,0.00026939655172413793
latency,1,0.00026939655172413793
smaller,2,0.0005387931034482759
explicitly,2,0.0005387931034482759
aeons,59,0.015894396551724137
soto,1,0.00026939655172413793
shrinks,20,0.005387931034482759
entertain,2,0.0005387931034482759
dussana,1,0.00026939655172413793
vasettha,3,0.0008081896551724138
pariyesana,1,0.00026939655172413793
soddens,3,0.0008081896551724138
perilous,2,0.0005387931034482759
knowingly,1,0.00026939655172413793
wiped,4,0.0010775862068965517
speculation,6,0.0016163793103448276
terrorfilled,1,0.00026939655172413793
bhikkhuni,65,0.017510775862068964
boulder,5,0.0013469827586206897
disparagement,9,0.0024245689655172415
beginning,154,0.041487068965517244
criminal,5,0.0013469827586206897
delineations,1,0.00026939655172413793
corrupts,3,0.0008081896551724138
pedantic,1,0.00026939655172413793
nondisappearance,3,0.0008081896551724138
valleys,1,0.00026939655172413793
headache,4,0.0010775862068965517
rathakara,2,0.0005387931034482759
brought,105,0.028286637931034482
selfadmonishments,1,0.00026939655172413793
anupassanto,2,0.0005387931034482759
earthproperty,3,0.0008081896551724138
overfull,1,0.00026939655172413793
downfall,76,0.020474137931034482
nearly,2,0.0005387931034482759
viewfever,2,0.0005387931034482759
traditions,13,0.003502155172413793
deerhide,2,0.0005387931034482759
invite,14,0.003771551724137931
deemings,1,0.00026939655172413793
fingernail,20,0.005387931034482759
hadayavatthu,1,0.00026939655172413793
burma,1,0.00026939655172413793
samsara,7,0.0018857758620689656
gleanings,3,0.0008081896551724138
heroes,14,0.003771551724137931
sasankharikasankharika,1,0.00026939655172413793
fertility,1,0.00026939655172413793
private,28,0.007543103448275862
indicating,6,0.0016163793103448276
cowardice,1,0.00026939655172413793
esteemed,12,0.003232758620689655
hub,8,0.0021551724137931034
huge,13,0.003502155172413793
accountant,2,0.0005387931034482759
bad,289,0.07785560344827586
agitated,58,0.015625
nakhasikha,3,0.0008081896551724138
flavors,112,0.03017241379310345
dangle,1,0.00026939655172413793
substantial,2,0.0005387931034482759
protean,1,0.00026939655172413793
unreached,2,0.0005387931034482759
pennon,3,0.0008081896551724138
forgetting,1,0.00026939655172413793
maggas,4,0.0010775862068965517
kayagatasati,1,0.00026939655172413793
shades,70,0.018857758620689655
mahasamaya,1,0.00026939655172413793
person,1654,0.44558189655172414
wisdom,239,0.06438577586206896
treacle,4,0.0010775862068965517
guardedness,1,0.00026939655172413793
capacity,3,0.0008081896551724138
story,45,0.012122844827586207
delay,7,0.0018857758620689656
nondomineering,1,0.00026939655172413793
efforts,18,0.004849137931034483
tidbits,2,0.0005387931034482759
exude,1,0.00026939655172413793
horse,56,0.015086206896551725
bellies,2,0.0005387931034482759
unsurpassables,1,0.00026939655172413793
assantam,1,0.00026939655172413793
breeding,5,0.0013469827586206897
khudda,1,0.00026939655172413793
transcendent,29,0.0078125
aversions,1,0.00026939655172413793
thirasana,1,0.00026939655172413793
holding,87,0.0234375
dvatayam,1,0.00026939655172413793
anantamanasa,1,0.00026939655172413793
happier,1,0.00026939655172413793
sakicca,1,0.00026939655172413793
wellborn,3,0.0008081896551724138
tadaahaaranirodhaa,1,0.00026939655172413793
suspended,2,0.0005387931034482759
swamp,4,0.0010775862068965517
creeps,2,0.0005387931034482759
intermediary,2,0.0005387931034482759
dikes,4,0.0010775862068965517
verily,7,0.0018857758620689656
pertain,3,0.0008081896551724138
sensualityproperty,2,0.0005387931034482759
agahanam,1,0.00026939655172413793
property,421,0.11341594827586207
nyanaponika,12,0.003232758620689655
eye,535,0.14412715517241378
nagara,2,0.0005387931034482759
temporarily,11,0.002963362068965517
wellrefined,1,0.00026939655172413793
ambiguity,1,0.00026939655172413793
allurements,2,0.0005387931034482759
informative,1,0.00026939655172413793
kinds,289,0.07785560344827586
vanijja,2,0.0005387931034482759
uraga,2,0.0005387931034482759
responded,122,0.03286637931034483
oneselfare,1,0.00026939655172413793
completeness,3,0.0008081896551724138
vutto,1,0.00026939655172413793
marvel,1,0.00026939655172413793
ruciras,1,0.00026939655172413793
bluedark,2,0.0005387931034482759
earbase,1,0.00026939655172413793
saññagatassa,1,0.00026939655172413793
proclaimer,4,0.0010775862068965517
command,1,0.00026939655172413793
lakes,7,0.0018857758620689656
waterlily,4,0.0010775862068965517
doer,23,0.006196120689655173
proficiency,1,0.00026939655172413793
storing,1,0.00026939655172413793
charity,8,0.0021551724137931034
disconnected,1,0.00026939655172413793
kapadika,6,0.0016163793103448276
worlding,1,0.00026939655172413793
nāga,6,0.0016163793103448276
tusker,13,0.003502155172413793
spout,2,0.0005387931034482759
refused,3,0.0008081896551724138
aspires,3,0.0008081896551724138
element,44,0.011853448275862068
delivery,7,0.0018857758620689656
balrampur,2,0.0005387931034482759
fewer,9,0.0024245689655172415
sarambha,1,0.00026939655172413793
tam,12,0.003232758620689655
blotchy,2,0.0005387931034482759
deers,1,0.00026939655172413793
nornonperception,1,0.00026939655172413793
community,277,0.0746228448275862
exposition,90,0.024245689655172414
script,1,0.00026939655172413793
radha,5,0.0013469827586206897
abhidhammika,1,0.00026939655172413793
dharmas,1,0.00026939655172413793
abdomen,1,0.00026939655172413793
matures,1,0.00026939655172413793
oxs,2,0.0005387931034482759
mahāsīla,1,0.00026939655172413793
contention,4,0.0010775862068965517
intimacies,3,0.0008081896551724138
diverse,6,0.0016163793103448276
used,162,0.043642241379310345
led,66,0.017780172413793104
releasing,22,0.005926724137931034
afraid,52,0.014008620689655173
mothers,27,0.007273706896551724
outstrip,1,0.00026939655172413793
visodehi,1,0.00026939655172413793
rama,14,0.003771551724137931
lifeflux,1,0.00026939655172413793
participating,5,0.0013469827586206897
uncle,1,0.00026939655172413793
jaraamarana,1,0.00026939655172413793
crusher,1,0.00026939655172413793
heaps,10,0.0026939655172413795
unprincipled,5,0.0013469827586206897
mldb,3,0.0008081896551724138
hast,4,0.0010775862068965517
folds,2,0.0005387931034482759
lokesu,1,0.00026939655172413793
poses,1,0.00026939655172413793
affix,1,0.00026939655172413793
exaggerating,1,0.00026939655172413793
mattaso,1,0.00026939655172413793
useless,1,0.00026939655172413793
abhijjaa,1,0.00026939655172413793
impossibility,3,0.0008081896551724138
