,word,count,freq
5058,blessed,4042,1.0889008620689655
17919,mind,3216,0.8663793103448276
1303,monks,2901,0.7815193965517241
10158,body,2820,0.7596982758620692
6471,said,2783,0.7497306034482759
6370,way,2673,0.7200969827586207
13709,having,2613,0.7039331896551724
12954,monk,2555,0.6883081896551724
786,dhamma,2359,0.6355064655172413
12676,right,2122,0.5716594827586207
13991,feeling,1871,0.5040409482758621
807,cessation,1849,0.4981142241379311
16596,consciousness,1792,0.4827586206896552
3278,life,1695,0.4566271551724138
332,person,1654,0.44558189655172414
16380,world,1616,0.4353448275862069
14375,mental,1571,0.4232219827586207
6191,lord,1554,0.4186422413793103
3450,ones,1542,0.4154094827586207
4074,noble,1505,0.4054418103448276
17709,death,1470,0.3960129310344828
11975,perception,1412,0.3803879310344828
9335,case,1410,0.3798491379310345
11437,good,1352,0.3642241379310345
5647,great,1331,0.3585668103448276
17852,pleasure,1281,0.34509698275862066
16700,time,1256,0.33836206896551724
14099,self,1246,0.33566810344827586
10486,like,1235,0.33270474137931033
13630,ven,1223,0.32947198275862066
8640,sutta,1209,0.3257004310344828
798,just,1196,0.3221982758620689
11080,himself,1172,0.3157327586206897
7864,say,1169,0.31492456896551724
8223,qualities,1142,0.3076508620689655
17564,comes,1137,0.3063038793103448
11488,beings,1130,0.30441810344827586
9408,thought,1118,0.3011853448275862
16637,come,1117,0.30091594827586204
12800,form,1110,0.2990301724137931
8408,stress,1081,0.2912176724137931
11754,man,1063,0.2863685344827586
18240,mindfulness,1059,0.28529094827586204
9266,away,1024,0.27586206896551724
12995,knowledge,984,0.2650862068965517
12507,regard,943,0.25404094827586204
17027,pain,936,0.2521551724137931
11215,called,898,0.24191810344827586
5935,view,878,0.2365301724137931
838,went,869,0.23410560344827586
4836,friend,851,0.22925646551724135
6892,long,840,0.22629310344827586
494,craving,829,0.22332974137931036
661,remains,811,0.21848060344827586
9844,practice,794,0.21390086206896552
9438,heard,793,0.21363146551724135
7860,concentration,789,0.21255387931034486
13382,evil,785,0.2114762931034483
5528,path,783,0.2109375
18072,birth,783,0.2109375
11474,gotama,779,0.20985991379310345
3043,things,777,0.2093211206896552
10797,know,771,0.20770474137931036
14183,suffering,762,0.2052801724137931
2114,condition,759,0.2044719827586207
12190,venerable,752,0.2025862068965517
4059,tathagata,750,0.20204741379310345
13022,people,739,0.19908405172413796
10482,state,732,0.19719827586206895
13425,bhikkhus,725,0.1953125
11561,occasion,721,0.19423491379310345
1597,seeing,718,0.19342672413793105
218,master,711,0.19154094827586207
19113,discernment,711,0.19154094827586207
10351,brahman,710,0.19127155172413796
14921,living,709,0.19100215517241376
3742,forth,694,0.1869612068965517
9988,gone,691,0.1861530172413793
10979,born,689,0.18561422413793105
14399,present,685,0.18453663793103448
6998,king,683,0.18399784482758624
6535,discerns,667,0.1796875
1703,abandoned,663,0.17860991379310345
6724,free,662,0.1783405172413793
7317,knows,660,0.17780172413793102
13219,fabrications,654,0.17618534482758622
10723,sitting,654,0.17618534482758622
13535,words,649,0.17483836206896552
13263,future,648,0.17456896551724138
14444,water,642,0.17295258620689655
3874,buddha,641,0.1726831896551724
11207,subject,640,0.1724137931034483
13135,ananda,637,0.17160560344827586
2777,disciple,635,0.1710668103448276
13522,wrong,624,0.16810344827586207
18243,brahmans,624,0.16810344827586207
13209,lives,621,0.16729525862068967
11776,inconstant,621,0.16729525862068967
11097,holy,601,0.1619073275862069
1815,contact,598,0.16109913793103448
7901,sense,595,0.16029094827586207
15930,sat,594,0.16002155172413793
14513,devas,592,0.15948275862068967
9563,feelings,586,0.15786637931034486
12197,sensuality,586,0.15786637931034486
8038,leading,584,0.15732758620689655
14848,awareness,582,0.1567887931034483
2939,endowed,580,0.15625
9788,given,567,0.15274784482758622
7304,arisen,561,0.15113146551724138
10669,speech,549,0.1478987068965517
7369,arises,545,0.14682112068965514
5032,passion,545,0.14682112068965514
4805,abandoning,543,0.1462823275862069
3027,action,539,0.14520474137931033
16507,food,538,0.14493534482758622
370,eye,535,0.14412715517241378
7884,think,534,0.14385775862068967
17567,rightly,534,0.14385775862068967
10157,cause,533,0.14358836206896552
16800,arrival,531,0.14304956896551724
608,desire,528,0.14224137931034486
6441,unskillful,526,0.14170258620689655
805,known,521,0.14035560344827586
8875,true,521,0.14035560344827586
3539,virtue,515,0.13873922413793102
4641,dimension,511,0.13766163793103448
15588,end,505,0.13604525862068967
12725,requisite,502,0.13523706896551724
4223,origination,500,0.13469827586206898
7596,past,495,0.1333512931034483
4986,staying,494,0.13308189655172414
8815,near,494,0.13308189655172414
10954,knowing,493,0.1328125
11471,sensual,493,0.1328125
2808,exist,492,0.13254310344827586
12105,seen,489,0.13173491379310345
17883,human,484,0.13038793103448276
14624,taking,483,0.13011853448275862
6199,views,482,0.12984913793103448
12711,conduct,480,0.12931034482758622
14532,bhikkhu,480,0.12931034482758622
18271,sir,476,0.12823275862068967
6451,sees,476,0.12823275862068967
1578,arising,474,0.12769396551724138
11181,attained,473,0.12742456896551724
13456,contemplatives,471,0.12688577586206898
72,truth,468,0.12607758620689655
12412,ignorance,466,0.1255387931034483
9751,second,465,0.12526939655172414
14259,far,463,0.12473060344827586
3229,clear,463,0.12473060344827586
11836,equanimity,461,0.12419181034482757
5764,going,460,0.12392241379310345
14661,mindful,459,0.12365301724137932
14306,released,455,0.12257543103448275
18151,distress,455,0.12257543103448275
3225,reference,455,0.12257543103448275
12090,contemplating,455,0.12257543103448275
13800,rapture,452,0.12176724137931035
13155,skillful,451,0.1214978448275862
9312,clinging,450,0.12122844827586207
1888,contemplative,450,0.12122844827586207
17712,jhana,450,0.12122844827586207
11082,teacher,449,0.12095905172413793
11195,means,447,0.12042025862068965
17391,tell,444,0.11961206896551725
16336,let,442,0.11907327586206895
13670,certain,436,0.11745689655172414
5869,pleasant,433,0.11664870689655173
3354,painful,431,0.11610991379310345
609,thinking,429,0.11557112068965515
8903,bodily,427,0.11503232758620688
10237,seven,427,0.11503232758620688
15569,objects,426,0.11476293103448275
15252,alms,424,0.11422413793103448
13553,grove,422,0.1136853448275862
368,property,421,0.11341594827586207
13896,forms,419,0.1128771551724138
14386,dependent,419,0.1128771551724138
11403,actually,418,0.11260775862068965
9623,day,415,0.11179956896551724
17474,ill,414,0.11153017241379312
17523,yes,410,0.11045258620689656
18196,passing,409,0.11018318965517243
14336,asked,408,0.10991379310344827
15371,unbinding,405,0.10910560344827586
18708,kamma,397,0.10695043103448276
9340,aging,396,0.10668103448275862
16768,friends,393,0.1058728448275862
5212,worthy,392,0.10560344827586207
8415,thoughts,391,0.10533405172413793
15697,ending,391,0.10533405172413793
13738,delusion,387,0.10425646551724138
19006,sariputta,387,0.10425646551724138
12830,arise,386,0.10398706896551724
3342,developed,384,0.10344827586206896
8314,enters,384,0.10344827586206896
17107,meaning,384,0.10344827586206896
14953,training,379,0.10210129310344827
8740,shall,377,0.1015625
13354,place,377,0.1015625
15112,savatthi,374,0.10075431034482757
7039,dwells,372,0.10021551724137932
10577,factor,371,0.09994612068965517
18544,happiness,368,0.09913793103448276
716,fruit,362,0.09752155172413793
2614,reason,359,0.09671336206896552
11445,sorrow,356,0.09590517241379312
10276,teaching,355,0.09563577586206896
10859,tree,354,0.09536637931034483
8658,saying,349,0.09401939655172414
9428,release,348,0.09375
14821,notes,346,0.09321120689655173
13214,actions,345,0.09294181034482757
13612,thing,342,0.09213362068965517
16031,aversion,341,0.09186422413793104
10978,live,341,0.09186422413793104
14455,standing,341,0.09186422413793104
5498,householder,339,0.09132543103448276
2032,breathe,338,0.09105603448275862
15621,states,334,0.08997844827586207
5885,night,333,0.08970905172413793
2971,wise,333,0.08970905172413793
14551,directed,332,0.0894396551724138
10948,individual,332,0.0894396551724138
4046,earth,329,0.08863146551724138
11965,intellect,327,0.08809267241379311
12719,trains,326,0.08782327586206896
11568,meditation,324,0.08728448275862069
12970,joy,323,0.08701508620689655
12313,internal,323,0.08701508620689655
4483,question,322,0.08674568965517243
12449,fermentations,320,0.08620689655172414
11266,factors,319,0.0859375
6660,delight,319,0.0859375
7045,set,316,0.08512931034482757
